2017-06-22 11:40:40,477 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:40:40,480 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:40:40,483 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:41:54,051 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:41:54,054 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:41:54,058 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:41:54,061 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:42:17,670 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:42:17,675 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:42:17,679 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:42:17,683 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:42:34,282 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:42:34,285 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:42:34,297 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:42:34,301 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:43:01,975 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:43:01,979 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:43:01,984 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:43:01,991 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-06-22 11:47:46,144 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:47:46,147 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\main\resources
2017-06-22 11:47:46,153 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-22 11:47:46,157 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\java-dev\src\test\resources
2017-07-01 13:13:48,830 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: kafka_demo:kafka_demo:0.0.1-SNAPSHOT @ C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\pom.xml.
2017-07-01 13:13:52,763 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /kafka_demo/src
2017-07-01 13:13:52,764 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /kafka_demo/src/test/java because it overlaps with /kafka_demo/src
2017-07-01 13:13:53,091 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-07-01 13:13:55,614 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: kafka_demo:kafka_demo:0.0.1-SNAPSHOT @ C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\pom.xml.
2017-07-01 13:13:56,771 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:13:56,802 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\main\resources
2017-07-01 13:13:56,805 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:13:56,807 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\test\resources
2017-07-01 13:13:56,841 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /kafka_demo/src
2017-07-01 13:13:56,842 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /kafka_demo/src/test/java because it overlaps with /kafka_demo/src
2017-07-01 13:13:56,949 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2017-07-01 13:13:57,885 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:13:57,887 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\main\resources
2017-07-01 13:13:57,889 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:13:57,890 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\test\resources
2017-07-01 13:14:24,198 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:14:24,202 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\main\resources
2017-07-01 13:14:24,216 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:14:24,219 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\test\resources
2017-07-01 13:14:42,821 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:14:42,838 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\main\resources
2017-07-01 13:14:42,860 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:14:42,865 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\test\resources
2017-07-01 13:14:58,761 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 13:14:58,765 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\RKUMAR\Desktop\self-help\dev-projects\projects\kafka_demo\src\main\resources
